employee_id,age,years_experience,weekly_work_hours,meetings_per_week,emails_sent_per_day,projects_handled,remote_days_per_month,sleep_hours,stress_level,exercise_hours_week,sick_leaves_year,productivity_score,burnout_risk_score
19,45,35,64,4,78,3,7,4.910457477718315,5,0.050788129757272094,4,37.14043474745475,60.475386972970696
20,51,35,57,20,104,8,15,7.586848080409084,2,9.177586426351606,19,47.27064123938857,54.97758060623562
21,59,25,36,29,190,1,12,7.988435229465077,6,1.9744881709113171,4,82.7964492229206,0.0
22,23,26,61,16,71,7,12,6.5160080825157305,4,9.841188838262372,3,35.362692188919695,23.181646606591503
23,42,4,40,24,178,7,16,8.20658552418562,2,7.362539479604622,8,71.06734004648717,39.76172374251387
24,54,19,39,22,66,1,19,6.4643892609460725,9,7.74251147700671,9,72.36529529788785,8.496083951160736
25,33,10,38,23,197,9,4,7.027823727864609,7,6.562029803736066,15,96.32751319218406,44.62876878504546
26,43,9,43,24,63,8,21,4.044118267326562,6,4.716631827851603,9,82.01287428231495,52.127157031962696
27,46,39,42,5,79,4,20,8.150320684808133,5,5.716276933611654,9,84.29081177229547,0.0
28,48,37,54,27,110,5,16,7.968056073668347,3,0.46402886015125655,18,62.52805992143148,31.220781061522395
29,63,5,31,20,66,2,8,4.230405263958067,4,6.239595094320142,9,34.94246457298965,61.12400962990446
30,49,7,64,21,147,9,1,6.209500644370799,3,6.260981019870467,5,54.04506925746813,19.90761940846344
31,37,22,36,10,177,6,17,9.874191044750004,8,8.912007974018096,16,63.95916588094563,27.39138863834832
32,36,25,50,17,144,3,8,6.524419375411701,3,5.056563574302194,4,74.27354013709699,22.508808487261785
33,24,11,47,3,112,7,5,7.01167243079105,7,0.7714437408606101,5,68.61672894655418,30.715180621235277
34,58,25,32,2,175,9,10,9.459580948958312,7,3.061959204820812,14,51.518226313379486,0.0
35,28,12,68,12,94,3,5,8.303571255194537,7,6.556294121143175,18,41.225048559667314,41.38644292766257
36,42,39,40,22,70,2,5,7.492420786745342,7,2.3925886275146393,17,33.45846745629465,46.080619734065856
37,30,17,68,8,12,7,12,8.786828088046434,2,2.805278218554009,3,75.50763090178131,36.240682914932194
38,60,24,53,20,137,7,10,9.18619759873584,3,8.204690163608534,7,71.63189394499881,6.252816128087522
39,39,32,48,5,188,4,13,6.741328430423601,9,5.84319731762709,15,74.98979726062453,0.0
40,25,39,33,25,95,9,1,6.850650189591012,3,5.085274317735725,18,49.80219622422359,50.11455509292024
41,46,11,55,29,56,8,7,6.316305613911014,2,3.1845196680580434,19,40.9926258056596,44.21809852235044
42,35,35,67,27,85,1,2,9.800236840110763,9,7.309280359330334,2,80.77770629447403,26.185802201045487
43,30,3,61,11,47,1,20,8.182997525742103,9,2.877184344900293,9,81.89179160442673,42.48454482189155
44,47,4,68,1,173,5,2,4.499338397248434,4,7.370635176441752,1,56.44930991734725,54.80498827969639
45,23,36,65,2,178,6,0,9.17775773987811,9,0.7010148026744201,3,68.95232678138593,49.62192356138
46,41,7,69,2,150,3,18,6.883359645017609,3,8.645413415820837,5,49.881573138539295,25.74934946839746
47,49,27,66,27,96,9,17,4.412523438534925,7,4.995664633759328,10,76.15577600958454,28.09347758584606
48,28,30,62,11,67,6,16,7.298303530979866,7,4.3850801669897,13,86.8577277318297,36.21346285723745
49,29,8,65,14,59,4,19,6.502985673854212,8,6.110234115419245,15,75.05866218685196,61.16803123899582
50,56,28,32,8,39,7,12,9.26649642917575,4,6.241920728962704,18,61.00661014777092,36.80749267470608
51,35,13,38,22,199,8,2,5.223967621656325,3,1.3203517688999555,1,56.69263675938963,47.62577815083667
52,38,39,37,7,110,9,0,8.958787656953097,3,7.562335898162132,16,71.38557207805954,21.52748878746345
53,57,21,62,10,34,6,3,7.346132147112717,5,2.759282979500629,8,74.38487132810641,0.0
54,61,10,35,15,121,6,12,4.327661819280815,1,9.04961880169914,16,64.69835548196312,30.59630058328343
55,25,22,68,25,164,8,16,9.831071807952908,3,8.178506634148325,14,69.9953820085916,44.12038881050122
56,23,0,33,26,188,5,10,7.075691464619199,6,3.462660415347485,6,27.727094599562577,51.00097010664094
57,27,36,42,24,194,3,1,5.745261125389495,3,8.077392932007145,18,96.14124129138614,30.8826527806851
58,63,20,31,21,135,3,15,6.8164410519355485,5,3.563904992999042,2,83.26184509856273,72.58846202007597
59,25,25,34,3,132,6,1,9.147146701104933,9,1.0094768163604062,0,49.91422957654271,0.0
60,50,35,56,27,56,2,18,5.829418746310381,2,9.618882387257079,3,65.0250088762904,31.60323899794344
61,39,22,61,0,127,6,18,5.156058378920202,2,6.5260201521544,17,23.785962410913708,62.51887547968836
62,47,0,50,23,48,6,15,4.774427481585288,6,4.560995266625917,7,23.29822511992483,14.728488082976732
63,55,39,37,6,25,8,21,5.787156390341267,6,3.9777335153103968,18,40.063866808957016,44.95488092731677
64,31,14,67,1,31,7,18,8.68028852224026,8,3.24705334258264,5,75.17613138916985,40.16024946231725
65,57,20,37,23,63,8,8,6.82975819117157,2,9.814475954291293,0,88.17181982400093,49.73389336585015
66,35,8,32,27,158,9,0,5.36488962216124,9,1.347472651309074,7,64.73487039838787,53.364153673040704
67,52,8,32,4,25,6,9,4.997109997658495,2,3.148050589205683,0,62.570619166588195,37.94570696427296
68,36,9,51,6,68,3,18,5.996376859062274,1,4.854976402826635,18,52.184762703317276,46.7435884127159
69,29,25,35,3,40,3,0,9.639546237314253,2,4.779995450543114,10,32.927836476641694,7.587404274359976
70,35,34,31,4,179,1,1,6.058160275540146,7,4.713664844078434,14,29.468328106127004,49.593231984254075
71,44,24,52,23,41,5,15,9.928744455727813,8,1.7578381583038183,10,80.85438089767729,17.151514347174587
72,61,25,31,0,196,4,11,6.911382734592137,5,1.4493252710950055,18,94.20028410372605,39.69967860464013
73,42,10,67,0,171,9,7,5.074983509740905,6,2.5476758632862007,9,56.66265731090185,49.899080478651896
74,37,37,46,14,18,9,17,9.346840550761057,1,9.145261538020561,11,72.75565269725107,0.0
75,39,1,64,19,148,5,1,6.762132238808961,6,1.1305296783451013,0,93.15661207047529,48.59827059607324
76,45,6,63,18,19,4,12,8.258028061027147,8,7.574251033733248,6,27.209090634731563,0.0
77,47,17,52,28,26,7,5,9.90226949925491,3,7.575483931333713,16,81.63851624952238,18.49570271116215
78,46,26,59,9,77,6,20,4.3010521019198436,1,8.097704038972623,9,69.34535075004601,25.313335723588647
79,62,33,37,27,57,4,5,4.580167358725403,4,8.866154889893554,5,67.8909743063889,0.0
80,50,26,51,17,189,2,8,8.322740448776537,1,2.6303617753893027,16,43.40323427852559,0.0
81,36,16,65,27,120,1,15,5.690950019772832,8,2.2455946926889636,17,74.71146838221415,55.12931659668961
82,22,23,34,2,162,4,10,5.105808381700594,5,4.655056665274797,4,83.58382038566212,36.86304896579697
83,46,24,42,10,132,4,6,4.236171278918377,1,2.650891687520361,17,29.02865319549577,32.61023486054975
84,28,6,58,14,158,1,9,4.131080271917211,8,7.343099889831075,16,62.6817144784787,81.21192122034742
85,30,5,60,26,110,6,9,8.646913618718745,9,6.359395767414337,15,28.101214478992773,0.0
86,45,23,45,29,111,4,19,4.8066005642173,2,8.749876880526514,7,89.80592154381156,24.156921256898485
87,22,32,59,10,74,1,17,6.806323695826905,9,0.8273830348707156,12,60.610937812507785,0.0
88,29,28,45,16,60,1,19,7.635380891076898,8,9.150833333580747,15,84.63725514086059,30.146598744060242
89,45,21,41,16,45,1,8,6.570110803413078,7,2.9334862667008954,10,49.44685101329714,34.96854459851905
90,32,25,46,5,90,8,14,4.162639914017399,3,4.90694345926984,5,30.006258145306035,69.35059811477645
91,38,27,45,4,136,8,3,8.701009015527454,2,4.386114359396437,2,23.319944350856918,12.315145831715816
92,29,20,41,7,97,2,7,4.063079347249921,7,7.603116511044239,0,42.52076966179004,41.05074115273654
93,56,6,37,1,113,7,8,8.571339366264905,5,4.203333094318426,17,39.538696029126285,13.378223116091636
94,56,16,49,15,24,8,12,9.359826962728736,6,9.435531456494093,4,64.82815792159695,19.74952956574364
95,54,19,32,19,105,8,8,6.597039526343034,4,9.025338826385754,12,21.73910704509659,55.023801606182126
96,26,19,45,23,176,7,3,7.213254838586789,2,8.721611519695065,9,61.64564354393387,34.76692721966636
97,63,21,59,11,132,5,16,6.861900355705923,9,0.712583326482279,4,51.341739360960254,51.723224712078675
98,60,27,52,5,10,1,15,6.335251711740633,3,8.542580615539395,13,66.16978159315536,19.87707168319121
99,62,39,57,0,160,9,14,9.32454721222216,7,7.816354454432105,16,76.19340225202917,24.852954134260766
100,49,6,69,3,131,7,2,9.363601064019942,8,1.03512947006131,0,70.72735560638712,0.0
101,28,0,34,16,176,2,19,6.014898187849207,2,1.0741432543622187,1,98.7715495498693,0.0
102,30,31,49,12,135,6,4,7.690418524088188,6,1.0116381151754117,6,31.061227510149685,35.066592799960546
103,29,12,69,17,66,2,4,9.561445372875184,8,0.1133259320448754,9,54.37896071438228,50.99216949031625
104,33,29,30,4,90,1,19,9.772350993648109,7,5.486343051945836,19,53.986458931464895,28.74773741210202
105,55,22,59,29,171,7,14,7.0537542425322854,3,9.733942914360433,6,53.36425629623365,22.890076671530707
106,54,18,50,23,178,2,17,6.7169488317059605,1,4.386847028997936,15,73.10387136341348,31.33865716390606
107,44,31,49,23,82,2,14,5.672165895571155,6,5.407575018873564,4,59.186244843737796,75.73005177381653
108,45,29,35,26,150,5,1,9.75323123914246,8,9.679697967699555,11,61.394604785037046,30.917262686143914
109,58,28,51,2,79,5,12,4.856885826837204,6,2.551822287742307,16,54.58847937174117,21.770332975521537
110,56,28,47,10,15,7,3,7.47897745628635,5,8.58470252598263,15,99.335956881485,39.221006056997666
111,61,29,37,12,93,1,9,5.695301605111833,8,5.463904672117361,19,94.20490790552337,58.14416541052225
112,43,15,68,3,61,8,12,5.67404974208678,2,5.6947651466301075,15,44.61793514914967,0.0
113,48,39,61,25,12,3,9,6.429811524257131,1,3.4317385720728355,18,28.927513981333377,0.0
114,56,18,62,26,90,4,8,9.992757614893927,1,5.615843609669081,14,87.18117792308823,53.158826677473876
115,22,17,45,13,72,9,7,4.329797841038932,4,0.7314250947828393,11,99.77362011405796,46.76776733501328
116,56,0,41,21,58,4,2,7.4712509092211885,6,7.646435726141122,9,43.40871152317164,30.432263658936556
117,58,13,67,10,85,5,15,4.495432948211663,9,2.8468776154427164,1,48.6227940673413,0.0
118,35,1,63,26,121,7,13,4.927124979943114,1,8.87608329493955,6,95.33065451881623,57.114598882415684
119,24,27,43,9,184,4,8,6.637377650637392,1,3.6785069460745845,12,76.89036144024719,31.451013376072524
120,22,29,65,18,118,1,20,7.062760788078648,5,1.428241104868826,2,43.65106654237089,13.40011289758302
121,26,37,62,17,192,9,10,5.552754450187144,5,6.95881574368485,14,66.48371930271321,0.0
122,47,3,52,5,74,4,2,5.8987427852464975,5,1.6457814471350285,0,95.53836634914049,35.03365236200826
123,35,0,31,26,90,9,4,4.521802121535599,6,7.536805155429905,2,84.94504855566228,0.0
124,60,7,50,28,24,6,9,5.819318703065504,8,9.681122364061165,9,79.34661709829277,25.8311545727754
125,48,28,31,14,109,1,12,9.799350636283265,3,7.7955286879526176,14,78.95970493816179,55.82614315089067
126,30,38,56,20,41,3,3,9.66824429003489,9,0.22449248431324675,5,34.24162594338163,0.0
127,36,2,38,29,105,2,12,6.00926974082191,1,5.998857880527747,19,85.97449913823492,0.0
128,36,31,30,9,137,9,11,7.425123617672569,4,6.954106709697243,14,42.08949059547665,0.0
129,47,9,40,4,155,1,4,9.457572346665666,9,8.254583257962851,6,94.42933263212237,25.90908476506496
130,63,9,32,25,122,9,9,4.03710293584538,8,0.5600230893900016,4,49.17119928110264,25.293210561947035
131,34,18,52,28,92,9,8,8.864101422025552,9,4.801078279522864,3,88.61283176338051,46.2044627484524
132,53,33,55,4,52,8,19,9.690217316733513,1,5.353708726383943,17,41.298679561424116,0.0
133,60,32,33,9,125,8,6,4.547954406001343,9,1.6912486264417803,2,61.162154926579234,60.94306972511042
134,53,22,47,27,172,1,1,4.968686116197526,3,3.2244980971064963,16,28.550823639124843,65.02673633824294
135,25,27,35,4,87,8,21,9.764477816628133,9,4.402217262561652,17,72.80951223969393,64.12536438022306
136,51,31,64,2,67,3,6,7.225240861842078,1,8.332096879578014,17,86.88634201334706,10.139862152323097
137,58,6,51,22,42,7,7,4.085179806830342,1,9.294075660702068,1,77.47578250419329,18.17951444472004
138,44,28,44,5,23,1,6,5.545791992581175,9,6.2842282891767285,12,61.86068103509258,50.6913722431613
139,60,7,51,3,171,1,20,6.699662045613158,6,3.949451860214621,14,23.60927028811676,57.14159385174214
140,36,0,66,17,198,5,13,8.157453466148606,4,2.5403101779898596,4,94.67528057366867,53.7003460770172
141,64,2,41,27,141,5,18,8.398962268820798,7,9.821351844361505,2,76.43916388629077,45.62699759150041
142,50,23,67,8,68,8,4,9.972529077552736,5,9.830199980763584,4,79.66913906922665,50.54088775483008
143,57,22,47,16,166,7,17,5.725067196302554,7,9.249769482350347,4,83.57444604086457,40.42131845983176
144,34,7,64,28,92,8,19,7.229320611210851,8,7.856691498778192,4,79.81947407420886,38.881758271885786
145,53,36,59,12,143,6,11,7.19994128715763,8,3.257795437456182,2,55.28929312786669,0.0
146,28,2,53,26,130,6,16,6.433871556683425,1,8.170004834976307,2,78.68974634303575,30.52373519507815
147,43,32,59,14,186,2,12,5.014971363054521,8,4.087930172711726,19,70.00214302482632,46.30131538468853
148,49,27,43,29,177,6,1,9.864739379103055,6,3.267730981550452,17,88.32130669350292,18.12515197082808
149,23,7,35,19,92,5,12,9.119903119999517,4,7.448653584662796,19,84.19678522698963,24.57822559798245
150,63,33,32,16,36,3,6,6.989998169765423,8,0.7965392762042289,3,23.30995059738079,22.992780793189972
151,27,34,45,12,89,6,9,7.619472536104179,3,0.4856272329566169,0,50.31096722660842,54.11567647199048
152,49,31,36,15,143,8,5,5.363566321357974,4,4.479536971811856,15,22.777292174711565,43.79891426248061
153,49,23,43,21,22,9,2,7.262722422350482,6,4.456388008221619,7,28.165993981287833,29.99275060332747
154,41,13,38,3,73,1,2,8.169820798728855,7,8.95644153063835,16,68.1128577602889,0.0
155,51,31,44,4,199,3,17,7.091002170319532,4,1.261530962878168,7,89.90574569298028,0.0
156,32,15,50,4,156,3,10,9.941711023509647,4,1.232839274524128,6,29.58598069674138,17.2574917199128
157,49,3,64,8,89,8,21,7.668049937486357,7,1.4745260047490116,7,56.08714299734652,35.09752957737675
158,46,36,31,16,132,1,19,6.225842275553014,6,0.29736261294602606,11,92.8703123845155,36.659110642034925
159,60,20,56,12,52,5,4,8.632912165695029,8,0.7173173781490838,15,85.14407869372702,0.0
160,54,13,31,1,98,3,18,5.022775069489852,1,6.598698668290391,11,61.573431717274396,33.17170916142506
161,22,30,64,12,157,2,21,6.3070948822376,7,4.315843291175092,18,81.72571514630647,0.0
162,48,17,47,21,104,8,18,6.081753702265515,7,7.636030670880136,9,61.81550192356296,37.39865183007371
163,34,6,43,20,181,3,14,6.590842570646664,7,9.925977185816603,6,32.6473869826279,21.476086578843418
164,62,9,49,26,160,7,15,8.690678955572357,7,6.590346810990013,11,29.978889057734328,0.0
165,24,6,47,22,11,1,8,6.905038192980445,8,0.5045557062012374,19,35.06945856536558,0.0
166,60,32,39,18,129,6,3,8.764086701595776,9,1.0456286475434151,4,48.07376759725436,25.314393709173476
167,27,22,54,2,31,3,14,7.458933418839195,9,8.810040848147079,15,94.4423414139215,24.545343292582853
168,29,20,31,9,124,8,11,6.052416607945332,2,5.274959445582615,8,83.97427309228812,0.0
169,48,18,54,1,66,6,2,8.859872462100835,7,8.2483715939574,6,54.6241248981054,15.289552930332903
170,30,18,62,12,81,2,13,5.429738023318549,7,8.566123362249261,19,59.44613678300592,40.07944685574262
171,58,35,65,18,16,6,16,5.346297878798773,4,9.276745414995192,13,41.24875661331319,0.0
172,54,28,60,25,193,7,18,7.027017544329015,9,9.498292054863658,10,76.3482365177704,37.2689340110986
173,63,17,43,16,128,5,5,5.565095475772534,8,5.548257965033062,6,84.22125371696305,0.0
174,45,1,30,20,123,3,3,4.054522209707298,1,3.4102017225603385,9,39.112375653406126,56.207602408492235
175,36,0,45,13,25,4,6,7.889785163792809,2,9.618648743479985,8,23.345729902917228,19.090940389011738
176,53,4,32,11,92,4,18,7.066562928834388,2,5.474064060012252,3,69.91111545303764,29.37676955153676
177,53,19,64,20,188,6,16,6.673106886958967,8,0.6425272295461104,15,65.00096953082533,36.05115457486175
178,45,10,35,11,81,1,15,9.801811087709892,1,6.42776550059865,9,52.17049240231012,46.694709294415155
179,62,1,54,10,133,4,14,7.427195103777482,4,5.876847503950108,18,71.5115153418568,51.48281833714388
180,33,2,42,6,122,4,21,9.180589466736308,5,8.95792872894706,16,64.04906383881149,22.745787061211672
181,60,22,63,3,21,1,7,4.836701417230961,9,6.531871891578125,8,40.04652612753542,41.33472533728357
182,23,11,37,18,135,9,18,7.415238778776566,7,3.490524244615514,12,51.81831804981779,0.0
183,24,19,50,0,62,4,7,9.207877760385418,8,9.662257257058204,0,54.24908557977933,26.242309662816243
184,58,4,63,27,84,7,17,7.498634543679388,9,8.016194859820336,1,90.4198395580451,18.384923801141092
185,38,36,33,23,142,3,15,8.30808506876201,7,6.304176183813544,12,96.87233233031675,46.61562291566204
186,23,37,54,28,36,3,19,6.232261406873244,5,2.929252034031229,8,91.44010899171977,40.83302774511987
187,23,29,44,2,149,8,18,4.554697102222399,5,3.7354029631429553,6,77.53424192415837,70.50295992199322
188,49,8,33,12,154,8,9,6.747401770762428,6,6.6996992409665665,15,66.79941868846575,38.3590319935661
189,44,33,41,14,143,1,16,6.366876345033145,5,0.7198081846332172,18,75.1409308372764,2.996701200838526
190,58,34,61,1,106,2,12,9.202361094273684,9,2.5668059165026347,6,95.12873765861512,20.352939600077402
191,53,21,61,10,14,8,12,5.463971814114833,3,7.13900933396598,5,39.99989881790654,8.56023452997302
192,54,23,57,3,66,1,6,9.800405365210649,3,4.800185098446209,17,62.80964061387239,10.938080673743695
193,22,16,42,18,165,8,9,9.748828718826978,7,4.023935648144301,18,75.16864152003264,6.749967441947548
194,40,9,60,28,87,8,1,5.485789858428632,7,1.514576224004145,10,74.33976010594196,54.60946148565188
195,23,29,43,16,78,2,3,6.088311732863923,6,4.418490344777326,11,40.18231676614691,0.0
196,47,22,49,2,127,4,5,9.37333444524331,3,7.706919707602339,9,66.93852219118014,37.11784294972272
197,53,31,47,27,129,6,17,9.799733325376645,7,2.6401284607189304,12,83.67305139361251,34.339044485730035
198,27,16,58,17,68,9,5,6.660634617016264,5,0.05398542183677413,11,58.00631840401951,42.53979201345004
199,53,16,35,7,42,8,16,5.925982273845387,7,6.685049011509828,9,83.46384613589879,64.99809954291688
200,25,13,61,21,71,8,13,7.156564079509252,2,9.726266044325525,19,48.790607820364386,37.62466326477888
201,32,8,58,24,59,7,10,8.12661523819441,6,6.068265635885829,17,95.10081017310071,36.70752350608953
202,38,39,31,23,121,9,18,5.640847092249879,8,1.1992185892713014,3,62.714275239928085,29.497049879083356
203,59,1,52,25,28,2,1,8.418839047714437,1,3.2073309234467304,4,67.67583606340915,0.0
204,45,24,48,18,132,3,2,4.309944142687846,4,8.676416147202234,4,22.50892550436707,51.30623877195967
205,26,38,60,4,56,8,10,4.295766956586498,1,2.3256807425682857,11,33.62153097028754,56.745341833488354
206,55,8,34,6,176,6,5,6.317726230873271,1,6.07695903497608,2,70.63471043768358,53.25240647207574
207,27,21,48,20,42,9,13,6.120839152364324,8,4.026712082539978,7,53.5896297425817,50.254863936091446
208,43,3,63,7,150,4,18,5.893799292202914,7,2.07843721419649,1,60.653103236653976,42.14052199370304
209,32,25,39,27,93,8,15,6.94611857601346,1,8.134068935646797,17,25.037712698696033,37.31578880587432
210,37,28,54,4,191,3,20,5.924401493869428,2,7.428312764656902,8,86.73081907283074,34.65617446761042
211,54,33,31,16,144,3,21,5.153547510808552,4,6.615910659592654,12,82.76044818369738,0.0
212,30,22,40,4,88,8,6,5.856817294531606,1,2.3633659026875122,6,34.828318057747964,56.15956826376413
213,27,36,60,3,23,5,7,9.84942563686141,3,0.9785700271645004,9,70.74634858059035,32.41952068492516
214,37,10,44,21,156,3,18,6.466680501969091,8,5.761593298259662,8,85.46521693234173,0.0
215,50,5,38,18,137,1,19,6.668276661150014,8,5.536778335394334,14,71.268330913248,54.81773902605343
216,24,17,52,26,63,3,15,7.45926993970684,8,1.88385009334873,4,44.831847623667585,43.93324014885024
217,41,20,48,20,157,9,21,9.90004461048536,6,0.5624669431517249,11,72.48889203825337,45.64857065650394
218,57,35,38,1,38,5,6,5.449607658614578,6,0.8070845419398598,0,36.83693981465698,46.15134961622645
219,40,37,64,10,33,2,8,8.087692663194602,5,9.927709865127337,11,45.46039978235367,34.13296836895057
220,47,33,50,21,91,7,12,8.295908161250345,9,7.835838947428837,5,39.20557224857429,63.971566496540454
221,24,16,38,12,72,2,0,7.643946500758395,4,9.219874759651725,18,64.55400819121652,35.034325903312656
222,40,36,57,14,114,4,7,4.531470037819864,7,1.9505472223636333,18,28.65813174124389,37.856252273620804
223,41,24,36,11,66,7,21,8.06123365496546,1,9.60568536323435,15,94.66483042786709,7.471685345422868
224,53,37,45,21,145,4,3,4.384568266217053,9,1.4265435147316208,18,46.680988293029344,0.0
225,28,11,45,20,71,7,2,7.576855897299382,7,5.090818285664711,2,37.5176101684641,44.059609484859436
226,62,22,62,21,166,7,2,8.437487063330456,9,8.29695684417064,9,59.7239850881465,32.936620412717346
227,54,21,33,10,26,1,21,5.265819343719702,7,3.498033545115794,17,42.159825476377286,44.486823844776616
228,61,20,33,6,75,6,12,9.049732045256643,2,4.248285331769005,12,62.79232691061154,39.17332882950998
229,60,26,68,27,15,9,7,4.182122833198026,6,1.2818511029909785,17,47.880731982566836,86.29354477049827
230,39,30,69,4,67,2,6,9.062877181949837,4,1.2292187999897275,2,30.565344861523265,35.43648973981033
231,61,5,46,16,78,3,0,6.76197430385659,3,6.195682247786596,2,41.27161936218096,13.421122882573473
232,22,26,66,23,165,5,15,5.305527639589867,2,6.755323686200567,11,55.07518759692202,0.0
233,32,39,68,19,71,9,5,4.802668869963808,6,7.773325140821933,19,22.42345811837005,25.163490349482476
234,49,33,58,8,178,4,6,9.719843005494235,8,5.566820526817535,6,81.65140216118095,11.887141347609996
235,46,11,65,13,91,1,11,4.43599352548694,6,6.457592922613059,7,69.74596516723327,74.24917716317306
236,44,6,67,25,178,4,8,5.194560519615554,9,0.13517271699720057,8,68.10876858226834,72.22189890002609
237,52,9,68,11,186,6,10,6.086934084598276,5,1.6217072713718805,13,63.68399455062128,55.68356263552516
238,51,16,66,5,186,5,9,7.721409093766723,2,9.849147660169047,4,67.22505378600547,31.89851464361204
239,63,25,64,16,80,1,20,7.2688065116565905,8,0.7599350631583179,18,94.77215621657764,0.0
240,56,20,36,18,140,4,0,4.753860954473884,9,6.787882222602449,15,20.685536864859255,0.0
241,28,27,56,18,19,6,17,5.738367902429288,4,1.7608263303171623,11,23.823976772619943,41.24760629947836
242,37,1,57,25,107,4,3,5.4325106265161445,6,7.167185857676419,3,35.31947279446419,42.64030686057238
243,47,0,51,15,98,9,4,5.281257126942048,8,7.0599040296199345,7,33.384110399452005,21.920204773933612
244,23,35,43,11,44,5,8,6.466866018879922,9,2.341990597880902,6,34.495556757534615,29.937416615332456
245,22,25,36,11,11,8,16,8.224188715549941,5,2.696343992192042,14,73.75551086789201,0.7144104859701703
246,33,28,66,19,133,9,2,5.304717593303415,6,6.5477071360208825,5,56.758664084013226,47.559410662225275
247,26,20,51,5,33,5,15,6.2000732782178885,4,3.9008603878021364,4,99.34231026677546,40.57047443291804
248,58,10,34,22,83,6,4,6.345504561046973,5,1.9454796969991128,13,38.150873184235586,65.01849044436115
249,53,39,31,25,175,1,15,9.858739176612461,7,7.316795987874817,12,44.86640808219957,30.719679901082415
250,30,10,56,3,31,7,2,9.727998141274412,9,1.5414752433633416,9,98.73925734413193,29.647898399719963
251,62,35,50,5,163,4,19,8.800825496512456,6,8.556436641449466,17,86.54065126417976,26.4361745917734
252,56,38,67,10,180,2,14,5.449953524915111,6,5.146695240518275,3,57.58393765428262,54.13075563486047
253,40,39,44,0,192,5,2,4.408223884550019,8,1.057006038793007,7,64.36775084367918,50.53662364800698
254,37,34,50,29,48,3,19,5.9014248263237485,4,6.940723335309844,10,87.45423365222723,47.88000338705475
255,24,33,39,23,166,6,13,5.600767296602985,3,5.191630395745404,16,58.47841968370624,42.71212296581616
256,41,23,52,22,29,8,15,7.035554800878363,7,2.980575717948095,17,36.48189788656674,38.69087330200598
257,45,21,68,14,50,7,16,8.666367460406757,5,4.225393802238548,10,86.27556308435084,31.62178818064956
258,54,4,34,26,191,3,19,9.149937633273147,2,2.9833774358749876,15,63.02179930205148,19.598345421542646
259,45,32,30,10,157,8,17,9.069184512463051,2,2.6302583574278406,11,32.2434077731057,0.0
260,32,35,42,24,117,2,17,6.158053367338407,6,1.6360842084371219,12,60.44686649475181,26.236993116598974
261,29,19,50,18,156,9,21,8.123406060764097,8,3.627671331374759,15,53.0562704477487,66.44077247965213
262,57,18,55,17,93,4,13,5.87700518514532,1,2.5098720631607074,0,90.14740255054063,43.61826724866683
263,59,34,50,16,120,1,17,4.3654332594110965,6,6.834344870539171,15,30.084434508856273,41.02255021430807
264,61,16,47,18,75,8,14,8.209391593617653,2,6.8387674116330635,14,90.01678435584205,22.59948886172921
265,41,33,66,20,167,7,14,4.058965315418727,2,5.018402425556384,5,60.97688134482277,54.56737092586079
266,56,8,61,13,62,5,5,6.455095524750932,7,7.77944527470321,11,52.34915439849181,58.98777420426056
267,46,25,65,26,43,5,14,5.976275615812455,1,8.413397190060483,7,32.957374752235225,50.34488091424448
